anno	geneIDs	geneNames
662	ANGPTL4|51129	51129	ANGPTL4
663	ANGPTL5|253935	253935	ANGPTL5
664	ANGPTL6|83854	83854	ANGPTL6
665	ANGPTL7|10218	10218	ANGPTL7
666	ANG|283	283	ANG
667	ANK1|286	286	ANK1
668	ANK2|287	287	ANK2
669	ANK3|288	288	ANK3
670	ANKAR|150709	150709	ANKAR
671	ANKDD1A|348094	348094	ANKDD1A
672	ANKFN1|162282	162282	ANKFN1
673	ANKFY1|51479	51479	ANKFY1
674	ANKHD1-EIF4EBP3|404734	404734	ANKHD1-EIF4EBP3
675	ANKHD1|54882	54882	ANKHD1
676	ANKH|56172	56172	ANKH
677	ANKIB1|54467	54467	ANKIB1
678	ANKK1|255239	255239	ANKK1
679	ANKLE1|126549	126549	ANKLE1
680	ANKLE2|23141	23141	ANKLE2
681	ANKMY1|51281	51281	ANKMY1
682	ANKMY2|57037	57037	ANKMY2
683	ANKRA2|57763	57763	ANKRA2
684	ANKRD10|55608	55608	ANKRD10
685	ANKRD11|29123	29123	ANKRD11
686	ANKRD12|23253	23253	ANKRD12
687	ANKRD13A|88455	88455	ANKRD13A
688	ANKRD13B|124930	124930	ANKRD13B
689	ANKRD13C|81573	81573	ANKRD13C
690	ANKRD13D|338692	338692	ANKRD13D
691	ANKRD16|54522	54522	ANKRD16
692	ANKRD17|26057	26057	ANKRD17
693	ANKRD19|138649	138649	ANKRD19
694	ANKRD1|27063	27063	ANKRD1
695	ANKRD20A3|441425	441425	ANKRD20A3
696	ANKRD20A4|728747	728747	ANKRD20A4
697	ANKRD20B|729171	729171	ANKRD20B
698	ANKRD22|118932	118932	ANKRD22
699	ANKRD23|200539	200539	ANKRD23
700	ANKRD24|170961	170961	ANKRD24
701	ANKRD26P1|124149	124149	ANKRD26P1
702	ANKRD26|22852	22852	ANKRD26
703	ANKRD27|84079	84079	ANKRD27
704	ANKRD28|23243	23243	ANKRD28
705	ANKRD29|147463	147463	ANKRD29
706	ANKRD2|26287	26287	ANKRD2
707	ANKRD30A|91074	91074	ANKRD30A
708	ANKRD30B|374860	374860	ANKRD30B
709	ANKRD31|256006	256006	ANKRD31
710	ANKRD32|84250	84250	ANKRD32
711	ANKRD33|341405	341405	ANKRD33
712	ANKRD34A|284615	284615	ANKRD34A
